,max_df,max_features,min_df,random_state,train_score,test_score
0,0.5,500,1,1,0.7336134453781512,0.7115869017632241
1,0.5,500,1,42,0.7243697478991596,0.7090680100755667
2,0.5,500,1,1337,0.7331932773109243,0.6561712846347607
3,0.5,500,2,1,0.7319327731092437,0.7128463476070529
4,0.5,500,2,42,0.7239495798319328,0.7115869017632241
5,0.5,500,2,1337,0.7336134453781512,0.6561712846347607
6,0.5,1000,1,1,0.7970588235294118,0.7619647355163728
7,0.5,1000,1,42,0.7941176470588235,0.760705289672544
8,0.5,1000,1,1337,0.8012605042016807,0.6952141057934509
9,0.5,1000,2,1,0.7966386554621848,0.7619647355163728
10,0.5,1000,2,42,0.7941176470588235,0.760705289672544
11,0.5,1000,2,1337,0.8016806722689076,0.6964735516372796
12,0.5,2000,1,1,0.8189075630252101,0.7695214105793451
13,0.5,2000,1,42,0.8184873949579832,0.7707808564231738
14,0.5,2000,1,1337,0.8273109243697478,0.716624685138539
15,0.5,2000,2,1,0.8180672268907563,0.7682619647355163
16,0.5,2000,2,42,0.8172268907563025,0.7732997481108312
17,0.5,2000,2,1337,0.8264705882352941,0.7178841309823678
18,0.5,3000,1,1,0.8226890756302521,0.7531486146095718
19,0.5,3000,1,42,0.8218487394957983,0.760705289672544
20,0.5,3000,1,1337,0.8189075630252101,0.7002518891687658
21,0.5,3000,2,1,0.8218487394957983,0.7493702770780857
22,0.5,3000,2,42,0.8205882352941176,0.7581863979848866
23,0.5,3000,2,1337,0.8189075630252101,0.7015113350125944
24,0.5,4000,1,1,0.8151260504201681,0.739294710327456
25,0.5,4000,1,42,0.8088235294117647,0.7405541561712846
26,0.5,4000,1,1337,0.8033613445378152,0.6876574307304786
27,0.5,4000,2,1,0.8142857142857143,0.743073047858942
28,0.5,4000,2,42,0.8084033613445378,0.7418136020151134
29,0.5,4000,2,1337,0.8033613445378152,0.6863979848866498
30,0.5,5000,1,1,0.7974789915966387,0.7317380352644837
31,0.5,5000,1,42,0.7924369747899159,0.7304785894206549
32,0.5,5000,1,1337,0.7852941176470588,0.6675062972292192
33,0.5,5000,2,1,0.7970588235294118,0.7317380352644837
34,0.5,5000,2,42,0.7924369747899159,0.7304785894206549
35,0.5,5000,2,1337,0.7865546218487395,0.6675062972292192
36,0.5,8000,1,1,0.746218487394958,0.6914357682619647
