,max_df,max_features,min_df,random_state,train_score,test_score
0,0.5,500,1,1,0.6869747899159664,0.6700251889168766
1,0.5,500,1,42,0.688655462184874,0.6649874055415617
2,0.5,500,1,1337,0.6798319327731093,0.6372795969773299
3,0.5,500,2,1,0.6873949579831933,0.6675062972292192
4,0.5,500,2,42,0.6890756302521008,0.6675062972292192
5,0.5,500,2,1337,0.6798319327731093,0.6372795969773299
6,0.5,1000,1,1,0.7474789915966387,0.6977329974811083
7,0.5,1000,1,42,0.7378151260504202,0.698992443324937
8,0.5,1000,1,1337,0.7432773109243698,0.6763224181360201
9,0.5,1000,2,1,0.7483193277310924,0.6952141057934509
10,0.5,1000,2,42,0.7378151260504202,0.698992443324937
11,0.5,1000,2,1337,0.7453781512605042,0.6763224181360201
12,0.5,2000,1,1,0.7890756302521008,0.7204030226700252
13,0.5,2000,1,42,0.7798319327731092,0.7367758186397985
14,0.5,2000,1,1337,0.788235294117647,0.7115869017632241
15,0.5,2000,2,1,0.7886554621848739,0.7229219143576826
16,0.5,2000,2,42,0.7827731092436975,0.7342569269521411
17,0.5,2000,2,1337,0.7886554621848739,0.7128463476070529
18,0.5,3000,1,1,0.7936974789915966,0.7103274559193955
19,0.5,3000,1,42,0.7827731092436975,0.7267002518891688
20,0.5,3000,1,1337,0.7861344537815126,0.7052896725440806
21,0.5,3000,2,1,0.792016806722689,0.7090680100755667
22,0.5,3000,2,42,0.784453781512605,0.7279596977329975
23,0.5,3000,2,1337,0.7861344537815126,0.707808564231738
24,0.5,4000,1,1,0.776890756302521,0.6964735516372796
25,0.5,4000,1,42,0.7689075630252101,0.7052896725440806
26,0.5,4000,1,1337,0.765126050420168,0.6952141057934509
27,0.5,4000,2,1,0.7777310924369748,0.698992443324937
28,0.5,4000,2,42,0.7676470588235295,0.7052896725440806
29,0.5,4000,2,1337,0.7642857142857142,0.6914357682619647
30,0.5,5000,1,1,0.7596638655462185,0.6851385390428212
31,0.5,5000,1,42,0.7470588235294118,0.6914357682619647
32,0.5,5000,1,1337,0.7457983193277311,0.6738035264483627
33,0.5,5000,2,1,0.7592436974789916,0.6851385390428212
34,0.5,5000,2,42,0.7474789915966387,0.6926952141057935
35,0.5,5000,2,1337,0.7466386554621849,0.6738035264483627
36,0.5,8000,1,1,0.7025210084033613,0.654911838790932
37,0.5,8000,1,42,0.6857142857142857,0.6511335012594458
38,0.5,8000,1,1337,0.6920168067226891,0.6410579345088161
39,0.5,8000,2,1,0.7033613445378152,0.654911838790932
40,0.5,8000,2,42,0.6899159663865546,0.6523929471032746
41,0.5,8000,2,1337,0.6911764705882353,0.6397984886649875
42,0.66,500,1,1,0.6722689075630253,0.6612090680100756
43,0.66,500,1,42,0.6785714285714286,0.6511335012594458
44,0.66,500,1,1337,0.6701680672268907,0.6360201511335013
45,0.66,500,2,1,0.6785714285714286,0.663727959697733
46,0.66,500,2,42,0.6773109243697479,0.6498740554156172
47,0.66,500,2,1337,0.6722689075630253,0.6372795969773299
48,0.66,1000,1,1,0.7382352941176471,0.6863979848866498
49,0.66,1000,1,42,0.7310924369747899,0.698992443324937
50,0.66,1000,1,1337,0.7411764705882353,0.672544080604534
51,0.66,1000,2,1,0.7373949579831933,0.6863979848866498
52,0.66,1000,2,42,0.7310924369747899,0.698992443324937
53,0.66,1000,2,1337,0.7390756302521009,0.672544080604534
54,0.66,2000,1,1,0.7840336134453781,0.7128463476070529
55,0.66,2000,1,42,0.7743697478991597,0.7216624685138538
56,0.66,2000,1,1337,0.7815126050420168,0.7052896725440806
57,0.66,2000,2,1,0.7827731092436975,0.7128463476070529
58,0.66,2000,2,42,0.7726890756302521,0.7229219143576826
59,0.66,2000,2,1337,0.7802521008403361,0.7052896725440806
60,0.66,3000,1,1,0.7878151260504201,0.707808564231738
61,0.66,3000,1,42,0.7752100840336135,0.716624685138539
62,0.66,3000,1,1337,0.7789915966386555,0.7015113350125944
63,0.66,3000,2,1,0.7861344537815126,0.707808564231738
64,0.66,3000,2,42,0.7756302521008404,0.716624685138539
65,0.66,3000,2,1337,0.780672268907563,0.7002518891687658
66,0.66,4000,1,1,0.7726890756302521,0.6914357682619647
67,0.66,4000,1,42,0.7605042016806722,0.7002518891687658
68,0.66,4000,1,1337,0.7584033613445378,0.6838790931989924
69,0.66,4000,2,1,0.7705882352941177,0.6939546599496221
70,0.66,4000,2,42,0.7596638655462185,0.7027707808564232
71,0.66,4000,2,1337,0.757563025210084,0.6851385390428212
72,0.66,5000,1,1,0.7466386554621849,0.6851385390428212
73,0.66,5000,1,42,0.7323529411764705,0.6788413098236776
74,0.66,5000,1,1337,0.7294117647058823,0.6675062972292192
75,0.66,5000,2,1,0.7470588235294118,0.6851385390428212
76,0.66,5000,2,42,0.7331932773109243,0.6775818639798489
77,0.66,5000,2,1337,0.7310924369747899,0.6675062972292192
78,0.66,8000,1,1,0.6882352941176471,0.6511335012594458
79,0.66,8000,1,42,0.6760504201680673,0.6473551637279596
80,0.66,8000,1,1337,0.6785714285714286,0.6372795969773299
81,0.66,8000,2,1,0.6907563025210084,0.6511335012594458
82,0.66,8000,2,42,0.6794117647058824,0.6473551637279596
83,0.66,8000,2,1337,0.676890756302521,0.6360201511335013
84,0.75,500,1,1,0.6697478991596638,0.6574307304785895
85,0.75,500,1,42,0.6760504201680673,0.6523929471032746
86,0.75,500,1,1337,0.6714285714285714,0.6322418136020151
87,0.75,500,2,1,0.6697478991596638,0.6574307304785895
88,0.75,500,2,42,0.6760504201680673,0.6523929471032746
89,0.75,500,2,1337,0.6714285714285714,0.6322418136020151
90,0.75,1000,1,1,0.7357142857142858,0.6863979848866498
91,0.75,1000,1,42,0.7302521008403361,0.698992443324937
92,0.75,1000,1,1337,0.7357142857142858,0.6675062972292192
93,0.75,1000,2,1,0.7361344537815127,0.6863979848866498
94,0.75,1000,2,42,0.7302521008403361,0.6977329974811083
95,0.75,1000,2,1337,0.7361344537815127,0.6675062972292192
96,0.75,2000,1,1,0.7836134453781513,0.7103274559193955
97,0.75,2000,1,42,0.773109243697479,0.7204030226700252
98,0.75,2000,1,1337,0.7810924369747899,0.7015113350125944
99,0.75,2000,2,1,0.7831932773109244,0.707808564231738
100,0.75,2000,2,42,0.7714285714285715,0.7204030226700252
101,0.75,2000,2,1337,0.7802521008403361,0.7002518891687658
102,0.75,3000,1,1,0.7852941176470588,0.707808564231738
103,0.75,3000,1,42,0.7739495798319328,0.7128463476070529
104,0.75,3000,1,1337,0.7785714285714286,0.7002518891687658
105,0.75,3000,2,1,0.7840336134453781,0.707808564231738
106,0.75,3000,2,42,0.7735294117647059,0.7128463476070529
107,0.75,3000,2,1337,0.7785714285714286,0.7002518891687658
108,0.75,4000,1,1,0.7680672268907563,0.6914357682619647
109,0.75,4000,1,42,0.757563025210084,0.7002518891687658
110,0.75,4000,1,1337,0.7542016806722689,0.6826196473551638
111,0.75,4000,2,1,0.7689075630252101,0.6914357682619647
112,0.75,4000,2,42,0.7567226890756302,0.7002518891687658
113,0.75,4000,2,1337,0.7558823529411764,0.6838790931989924
114,0.75,5000,1,1,0.7445378151260504,0.6826196473551638
115,0.75,5000,1,42,0.7285714285714285,0.6738035264483627
116,0.75,5000,1,1337,0.7281512605042016,0.6662468513853904
117,0.75,5000,2,1,0.7453781512605042,0.681360201511335
118,0.75,5000,2,42,0.7315126050420168,0.672544080604534
119,0.75,5000,2,1337,0.7294117647058823,0.6662468513853904
120,0.75,8000,1,1,0.6869747899159664,0.6486146095717884
121,0.75,8000,1,42,0.6743697478991597,0.6473551637279596
122,0.75,8000,1,1337,0.6739495798319328,0.6335012594458438
123,0.75,8000,2,1,0.6873949579831933,0.6486146095717884
124,0.75,8000,2,42,0.676890756302521,0.646095717884131
125,0.75,8000,2,1337,0.6739495798319328,0.6360201511335013
126,0.83,500,1,1,0.66890756302521,0.6574307304785895
127,0.83,500,1,42,0.6710084033613445,0.6486146095717884
128,0.83,500,1,1337,0.6697478991596638,0.6309823677581864
129,0.83,500,2,1,0.66890756302521,0.6574307304785895
130,0.83,500,2,42,0.6710084033613445,0.6486146095717884
131,0.83,500,2,1337,0.6693277310924369,0.6297229219143576
132,0.83,1000,1,1,0.7340336134453781,0.6838790931989924
133,0.83,1000,1,42,0.7285714285714285,0.6926952141057935
134,0.83,1000,1,1337,0.7310924369747899,0.6687657430730478
135,0.83,1000,2,1,0.7340336134453781,0.6838790931989924
136,0.83,1000,2,42,0.7281512605042016,0.6926952141057935
137,0.83,1000,2,1337,0.7319327731092437,0.6712846347607053
138,0.83,2000,1,1,0.7823529411764706,0.7065491183879093
139,0.83,2000,1,42,0.7689075630252101,0.7178841309823678
140,0.83,2000,1,1337,0.7773109243697479,0.7002518891687658
