,max_df,max_features,min_df,random_state,train_score,test_score
0,0.5,500,1,1,0.7205882352941176,0.6826196473551638
1,0.5,500,1,42,0.726890756302521,0.6763224181360201
2,0.5,500,1,1337,0.707983193277311,0.6687657430730478
3,0.5,500,2,1,0.7205882352941176,0.681360201511335
4,0.5,500,2,42,0.726890756302521,0.6750629722921915
5,0.5,500,2,1337,0.7084033613445379,0.6712846347607053
6,0.5,1000,1,1,0.7668067226890757,0.6851385390428212
7,0.5,1000,1,42,0.7596638655462185,0.6838790931989924
8,0.5,1000,1,1337,0.757563025210084,0.6926952141057935
9,0.5,1000,2,1,0.7668067226890757,0.6876574307304786
10,0.5,1000,2,42,0.7596638655462185,0.6838790931989924
11,0.5,1000,2,1337,0.757563025210084,0.6926952141057935
12,0.5,2000,1,1,0.8142857142857143,0.7128463476070529
13,0.5,2000,1,42,0.8063025210084034,0.7103274559193955
14,0.5,2000,1,1337,0.7991596638655463,0.7153652392947103
15,0.5,2000,2,1,0.8147058823529412,0.7115869017632241
16,0.5,2000,2,42,0.8063025210084034,0.7115869017632241
17,0.5,2000,2,1337,0.7983193277310925,0.7128463476070529
18,0.5,3000,1,1,0.8319327731092437,0.7027707808564232
19,0.5,3000,1,42,0.8210084033613445,0.7040302267002518
20,0.5,3000,1,1337,0.8172268907563025,0.7103274559193955
21,0.5,3000,2,1,0.83109243697479,0.7027707808564232
22,0.5,3000,2,42,0.8222689075630252,0.7040302267002518
23,0.5,3000,2,1337,0.8180672268907563,0.707808564231738
24,0.5,4000,1,1,0.8306722689075631,0.6914357682619647
25,0.5,4000,1,42,0.8184873949579832,0.7027707808564232
26,0.5,4000,1,1337,0.8184873949579832,0.6952141057934509
27,0.5,4000,2,1,0.8302521008403362,0.6926952141057935
28,0.5,4000,2,42,0.8210084033613445,0.7002518891687658
29,0.5,4000,2,1337,0.8201680672268907,0.6914357682619647
30,0.5,5000,1,1,0.8239495798319327,0.6863979848866498
31,0.5,5000,1,42,0.8168067226890756,0.6964735516372796
32,0.5,5000,1,1337,0.8147058823529412,0.6788413098236776
33,0.5,5000,2,1,0.8235294117647058,0.6863979848866498
34,0.5,5000,2,42,0.815546218487395,0.6964735516372796
35,0.5,5000,2,1337,0.8142857142857143,0.681360201511335
36,0.5,8000,1,1,0.7928571428571428,0.6486146095717884
37,0.5,8000,1,42,0.7857142857142857,0.6712846347607053
38,0.5,8000,1,1337,0.7756302521008404,0.646095717884131
39,0.5,8000,2,1,0.7936974789915966,0.654911838790932
40,0.5,8000,2,42,0.7848739495798319,0.6700251889168766
41,0.5,8000,2,1337,0.7764705882352941,0.646095717884131
42,0.66,500,1,1,0.7113445378151261,0.6763224181360201
43,0.66,500,1,42,0.7138655462184874,0.6700251889168766
44,0.66,500,1,1337,0.6974789915966386,0.6612090680100756
45,0.66,500,2,1,0.7109243697478992,0.6738035264483627
46,0.66,500,2,42,0.7142857142857143,0.6700251889168766
47,0.66,500,2,1337,0.6974789915966386,0.6624685138539043
48,0.66,1000,1,1,0.7596638655462185,0.6838790931989924
49,0.66,1000,1,42,0.7491596638655462,0.6687657430730478
50,0.66,1000,1,1337,0.7508403361344538,0.6876574307304786
51,0.66,1000,2,1,0.7600840336134453,0.6838790931989924
52,0.66,1000,2,42,0.7508403361344538,0.672544080604534
53,0.66,1000,2,1337,0.7508403361344538,0.6876574307304786
54,0.66,2000,1,1,0.8088235294117647,0.7040302267002518
55,0.66,2000,1,42,0.7987394957983194,0.707808564231738
56,0.66,2000,1,1337,0.7949579831932773,0.7090680100755667
57,0.66,2000,2,1,0.8100840336134454,0.7040302267002518
58,0.66,2000,2,42,0.7970588235294118,0.707808564231738
59,0.66,2000,2,1337,0.7953781512605042,0.7090680100755667
60,0.66,3000,1,1,0.823109243697479,0.7002518891687658
61,0.66,3000,1,42,0.8117647058823529,0.6939546599496221
62,0.66,3000,1,1337,0.8084033613445378,0.7141057934508817
63,0.66,3000,2,1,0.8247899159663865,0.7002518891687658
64,0.66,3000,2,42,0.8121848739495798,0.6939546599496221
65,0.66,3000,2,1337,0.8084033613445378,0.7103274559193955
