,max_df,max_features,min_df,random_state,train_score,test_score
0,0.5,500,1,1,0.7315126050420168,0.7178841309823678
1,0.5,500,1,42,0.7352941176470589,0.7229219143576826
2,0.5,500,1,1337,0.7352941176470589,0.6624685138539043
3,0.5,500,2,1,0.7315126050420168,0.7178841309823678
4,0.5,500,2,42,0.7352941176470589,0.7229219143576826
5,0.5,500,2,1337,0.7352941176470589,0.6624685138539043
6,0.5,1000,1,1,0.7974789915966387,0.7632241813602015
7,0.5,1000,1,42,0.7978991596638656,0.7619647355163728
8,0.5,1000,1,1337,0.7962184873949579,0.7090680100755667
9,0.5,1000,2,1,0.7974789915966387,0.7644836272040302
10,0.5,1000,2,42,0.7991596638655463,0.760705289672544
11,0.5,1000,2,1337,0.7941176470588235,0.7090680100755667
12,0.5,2000,1,1,0.8243697478991596,0.7670025188916877
13,0.5,2000,1,42,0.819327731092437,0.7795969773299748
14,0.5,2000,1,1337,0.826890756302521,0.7115869017632241
15,0.5,2000,2,1,0.8247899159663865,0.7695214105793451
16,0.5,2000,2,42,0.8205882352941176,0.7795969773299748
17,0.5,2000,2,1337,0.8264705882352941,0.7115869017632241
18,0.5,3000,1,1,0.826890756302521,0.7531486146095718
19,0.5,3000,1,42,0.8239495798319327,0.7758186397984886
20,0.5,3000,1,1337,0.8226890756302521,0.7090680100755667
21,0.5,3000,2,1,0.8264705882352941,0.7531486146095718
22,0.5,3000,2,42,0.8226890756302521,0.77455919395466
23,0.5,3000,2,1337,0.8205882352941176,0.7103274559193955
24,0.5,4000,1,1,0.8184873949579832,0.7418136020151134
25,0.5,4000,1,42,0.8117647058823529,0.7518891687657431
26,0.5,4000,1,1337,0.811344537815126,0.6851385390428212
27,0.5,4000,2,1,0.8184873949579832,0.743073047858942
28,0.5,4000,2,42,0.8121848739495798,0.7518891687657431
29,0.5,4000,2,1337,0.8109243697478992,0.6863979848866498
30,0.5,5000,1,1,0.8067226890756303,0.7380352644836272
31,0.5,5000,1,42,0.7983193277310925,0.7380352644836272
32,0.5,5000,1,1337,0.7915966386554621,0.6750629722921915
33,0.5,5000,2,1,0.8067226890756303,0.739294710327456
34,0.5,5000,2,42,0.7966386554621848,0.7329974811083123
35,0.5,5000,2,1337,0.7941176470588235,0.6750629722921915
36,0.5,8000,1,1,0.7512605042016807,0.7002518891687658
37,0.5,8000,1,42,0.7491596638655462,0.698992443324937
38,0.5,8000,1,1337,0.7415966386554622,0.6385390428211587
39,0.5,8000,2,1,0.7521008403361344,0.7002518891687658
40,0.5,8000,2,42,0.7483193277310924,0.6977329974811083
41,0.5,8000,2,1337,0.7415966386554622,0.6372795969773299
42,0.66,500,1,1,0.7247899159663865,0.7103274559193955
43,0.66,500,1,42,0.7264705882352941,0.7103274559193955
44,0.66,500,1,1337,0.7277310924369748,0.6523929471032746
45,0.66,500,2,1,0.7247899159663865,0.7115869017632241
46,0.66,500,2,42,0.7256302521008403,0.7115869017632241
47,0.66,500,2,1337,0.7277310924369748,0.6523929471032746
48,0.66,1000,1,1,0.7907563025210084,0.760705289672544
49,0.66,1000,1,42,0.7903361344537815,0.756926952141058
50,0.66,1000,1,1337,0.788235294117647,0.6977329974811083
51,0.66,1000,2,1,0.7907563025210084,0.760705289672544
52,0.66,1000,2,42,0.7886554621848739,0.756926952141058
53,0.66,1000,2,1337,0.7886554621848739,0.6977329974811083
54,0.66,2000,1,1,0.8189075630252101,0.7644836272040302
55,0.66,2000,1,42,0.8117647058823529,0.7732997481108312
56,0.66,2000,1,1337,0.8197478991596638,0.707808564231738
57,0.66,2000,2,1,0.8189075630252101,0.7644836272040302
58,0.66,2000,2,42,0.8117647058823529,0.7732997481108312
59,0.66,2000,2,1337,0.8189075630252101,0.7090680100755667
60,0.66,3000,1,1,0.8214285714285714,0.7518891687657431
61,0.66,3000,1,42,0.8096638655462185,0.7657430730478589
62,0.66,3000,1,1337,0.815546218487395,0.7040302267002518
63,0.66,3000,2,1,0.8210084033613445,0.7518891687657431
64,0.66,3000,2,42,0.8100840336134454,0.7670025188916877
65,0.66,3000,2,1337,0.8151260504201681,0.7015113350125944
66,0.66,4000,1,1,0.8092436974789916,0.7380352644836272
67,0.66,4000,1,42,0.8016806722689076,0.7418136020151134
68,0.66,4000,1,1337,0.8029411764705883,0.6801007556675063
69,0.66,4000,2,1,0.8092436974789916,0.7380352644836272
70,0.66,4000,2,42,0.8016806722689076,0.7418136020151134
71,0.66,4000,2,1337,0.8021008403361345,0.6788413098236776
72,0.66,5000,1,1,0.7945378151260504,0.7317380352644837
73,0.66,5000,1,42,0.7865546218487395,0.72544080604534
