,max_df,max_features,min_df,random_state,train_score,test_score
0,0.5,500,1,1,0.6882352941176471,0.6675062972292192
1,0.5,500,1,42,0.6882352941176471,0.6662468513853904
2,0.5,500,1,1337,0.6743697478991597,0.6473551637279596
3,0.5,500,2,1,0.6882352941176471,0.6675062972292192
4,0.5,500,2,42,0.6882352941176471,0.6662468513853904
5,0.5,500,2,1337,0.6743697478991597,0.6473551637279596
6,0.5,1000,1,1,0.7478991596638656,0.7027707808564232
7,0.5,1000,1,42,0.7357142857142858,0.7103274559193955
8,0.5,1000,1,1337,0.7441176470588236,0.6876574307304786
9,0.5,1000,2,1,0.7478991596638656,0.7002518891687658
10,0.5,1000,2,42,0.7361344537815127,0.7090680100755667
11,0.5,1000,2,1337,0.7441176470588236,0.6863979848866498
12,0.5,2000,1,1,0.7886554621848739,0.7141057934508817
13,0.5,2000,1,42,0.7815126050420168,0.7241813602015114
14,0.5,2000,1,1337,0.7852941176470588,0.7065491183879093
15,0.5,2000,2,1,0.788235294117647,0.7141057934508817
16,0.5,2000,2,42,0.7810924369747899,0.7241813602015114
17,0.5,2000,2,1337,0.7857142857142857,0.7090680100755667
18,0.5,3000,1,1,0.7953781512605042,0.7141057934508817
19,0.5,3000,1,42,0.7873949579831933,0.7267002518891688
20,0.5,3000,1,1337,0.7886554621848739,0.7103274559193955
21,0.5,3000,2,1,0.7945378151260504,0.7128463476070529
22,0.5,3000,2,42,0.7861344537815126,0.7241813602015114
23,0.5,3000,2,1337,0.7894957983193277,0.7090680100755667
24,0.5,4000,1,1,0.7924369747899159,0.6939546599496221
25,0.5,4000,1,42,0.7764705882352941,0.7103274559193955
26,0.5,4000,1,1337,0.7781512605042017,0.6926952141057935
27,0.5,4000,2,1,0.7915966386554621,0.6939546599496221
28,0.5,4000,2,42,0.7764705882352941,0.7115869017632241
29,0.5,4000,2,1337,0.7781512605042017,0.6914357682619647
30,0.5,5000,1,1,0.773109243697479,0.690176322418136
31,0.5,5000,1,42,0.7609243697478991,0.6977329974811083
32,0.5,5000,1,1337,0.7579831932773109,0.6876574307304786
33,0.5,5000,2,1,0.7752100840336135,0.6876574307304786
34,0.5,5000,2,42,0.7605042016806722,0.7002518891687658
35,0.5,5000,2,1337,0.7571428571428571,0.6838790931989924
36,0.5,8000,1,1,0.7159663865546219,0.6624685138539043
37,0.5,8000,1,42,0.6987394957983193,0.6612090680100756
38,0.5,8000,1,1337,0.7004201680672268,0.6423173803526449
39,0.5,8000,2,1,0.7176470588235294,0.6624685138539043
40,0.5,8000,2,42,0.7004201680672268,0.6624685138539043
41,0.5,8000,2,1337,0.6995798319327731,0.6410579345088161
42,0.66,500,1,1,0.6722689075630253,0.6599496221662469
43,0.66,500,1,42,0.6773109243697479,0.654911838790932
44,0.66,500,1,1337,0.6701680672268907,0.6448362720403022
45,0.66,500,2,1,0.6710084033613445,0.6599496221662469
46,0.66,500,2,42,0.6777310924369748,0.6536523929471033
47,0.66,500,2,1337,0.6701680672268907,0.6448362720403022
48,0.66,1000,1,1,0.7373949579831933,0.6889168765743073
49,0.66,1000,1,42,0.7256302521008403,0.707808564231738
50,0.66,1000,1,1337,0.7340336134453781,0.6826196473551638
51,0.66,1000,2,1,0.7373949579831933,0.6889168765743073
52,0.66,1000,2,42,0.7235294117647059,0.698992443324937
53,0.66,1000,2,1337,0.7340336134453781,0.681360201511335
54,0.66,2000,1,1,0.7789915966386555,0.7141057934508817
55,0.66,2000,1,42,0.7710084033613446,0.7128463476070529
56,0.66,2000,1,1337,0.7785714285714286,0.6977329974811083
57,0.66,2000,2,1,0.7789915966386555,0.7141057934508817
58,0.66,2000,2,42,0.7697478991596639,0.7141057934508817
59,0.66,2000,2,1337,0.7785714285714286,0.6977329974811083
60,0.66,3000,1,1,0.7869747899159664,0.7065491183879093
61,0.66,3000,1,42,0.7781512605042017,0.7115869017632241
62,0.66,3000,1,1337,0.7827731092436975,0.7027707808564232
63,0.66,3000,2,1,0.7886554621848739,0.7027707808564232
64,0.66,3000,2,42,0.7764705882352941,0.7103274559193955
65,0.66,3000,2,1337,0.784453781512605,0.7027707808564232
66,0.66,4000,1,1,0.7819327731092437,0.690176322418136
67,0.66,4000,1,42,0.7710084033613446,0.7027707808564232
