,max_df,max_features,min_df,random_state,train_score,test_score
0,0.5,500,1,1,0.7121848739495799,0.6700251889168766
1,0.5,500,1,42,0.7252100840336134,0.6700251889168766
2,0.5,500,1,1337,0.7100840336134454,0.6838790931989924
3,0.5,500,2,1,0.7121848739495799,0.6700251889168766
4,0.5,500,2,42,0.7252100840336134,0.6700251889168766
5,0.5,500,2,1337,0.7100840336134454,0.6838790931989924
6,0.5,1000,1,1,0.761344537815126,0.698992443324937
7,0.5,1000,1,42,0.7617647058823529,0.6801007556675063
8,0.5,1000,1,1337,0.7542016806722689,0.6964735516372796
9,0.5,1000,2,1,0.7605042016806722,0.698992443324937
10,0.5,1000,2,42,0.7621848739495798,0.6788413098236776
11,0.5,1000,2,1337,0.7550420168067227,0.698992443324937
12,0.5,2000,1,1,0.8151260504201681,0.7191435768261965
13,0.5,2000,1,42,0.8084033613445378,0.7040302267002518
14,0.5,2000,1,1337,0.807563025210084,0.72544080604534
15,0.5,2000,2,1,0.8134453781512605,0.7229219143576826
16,0.5,2000,2,42,0.8092436974789916,0.7027707808564232
17,0.5,2000,2,1337,0.8063025210084034,0.72544080604534
18,0.5,3000,1,1,0.8327731092436975,0.7141057934508817
19,0.5,3000,1,42,0.8315126050420169,0.7141057934508817
20,0.5,3000,1,1337,0.8243697478991596,0.7052896725440806
21,0.5,3000,2,1,0.8352941176470589,0.7128463476070529
22,0.5,3000,2,42,0.8298319327731093,0.7141057934508817
23,0.5,3000,2,1337,0.8226890756302521,0.7065491183879093
24,0.5,4000,1,1,0.8373949579831933,0.698992443324937
25,0.5,4000,1,42,0.8306722689075631,0.7052896725440806
26,0.5,4000,1,1337,0.8294117647058824,0.7040302267002518
27,0.5,4000,2,1,0.838655462184874,0.7040302267002518
28,0.5,4000,2,42,0.8323529411764706,0.7065491183879093
29,0.5,4000,2,1337,0.8289915966386555,0.7065491183879093
30,0.5,5000,1,1,0.838655462184874,0.690176322418136
31,0.5,5000,1,42,0.826890756302521,0.6977329974811083
32,0.5,5000,1,1337,0.8252100840336134,0.6939546599496221
33,0.5,5000,2,1,0.8378151260504202,0.6876574307304786
34,0.5,5000,2,42,0.8252100840336134,0.6939546599496221
35,0.5,5000,2,1337,0.8252100840336134,0.6939546599496221
36,0.5,8000,1,1,0.8071428571428572,0.654911838790932
37,0.5,8000,1,42,0.8033613445378152,0.6687657430730478
38,0.5,8000,1,1337,0.7865546218487395,0.6473551637279596
39,0.5,8000,2,1,0.8084033613445378,0.6561712846347607
40,0.5,8000,2,42,0.8016806722689076,0.6750629722921915
41,0.5,8000,2,1337,0.7848739495798319,0.6473551637279596
42,0.66,500,1,1,0.7037815126050421,0.6586901763224181
43,0.66,500,1,42,0.7151260504201681,0.6712846347607053
44,0.66,500,1,1337,0.6928571428571428,0.6700251889168766
45,0.66,500,2,1,0.7058823529411765,0.6586901763224181
46,0.66,500,2,42,0.7159663865546219,0.6662468513853904
47,0.66,500,2,1337,0.6928571428571428,0.6700251889168766
48,0.66,1000,1,1,0.7529411764705882,0.698992443324937
49,0.66,1000,1,42,0.7529411764705882,0.681360201511335
50,0.66,1000,1,1337,0.746218487394958,0.6889168765743073
51,0.66,1000,2,1,0.7529411764705882,0.698992443324937
52,0.66,1000,2,42,0.753781512605042,0.6788413098236776
53,0.66,1000,2,1337,0.7466386554621849,0.6876574307304786
54,0.66,2000,1,1,0.8126050420168067,0.7141057934508817
55,0.66,2000,1,42,0.7991596638655463,0.6977329974811083
56,0.66,2000,1,1337,0.8004201680672269,0.7216624685138538
57,0.66,2000,2,1,0.8126050420168067,0.7141057934508817
58,0.66,2000,2,42,0.8,0.6964735516372796
59,0.66,2000,2,1337,0.7991596638655463,0.7204030226700252
60,0.66,3000,1,1,0.8285714285714286,0.7027707808564232
61,0.66,3000,1,42,0.8210084033613445,0.7040302267002518
62,0.66,3000,1,1337,0.8138655462184874,0.7040302267002518
63,0.66,3000,2,1,0.8277310924369747,0.698992443324937
64,0.66,3000,2,42,0.8226890756302521,0.7040302267002518
65,0.66,3000,2,1337,0.8142857142857143,0.7040302267002518
66,0.66,4000,1,1,0.8306722689075631,0.6889168765743073
67,0.66,4000,1,42,0.8197478991596638,0.6952141057934509
68,0.66,4000,1,1337,0.8210084033613445,0.7002518891687658
69,0.66,4000,2,1,0.8302521008403362,0.690176322418136
70,0.66,4000,2,42,0.8205882352941176,0.6939546599496221
71,0.66,4000,2,1337,0.8210084033613445,0.6977329974811083
72,0.66,5000,1,1,0.8243697478991596,0.6801007556675063
73,0.66,5000,1,42,0.8100840336134454,0.6826196473551638
74,0.66,5000,1,1337,0.8134453781512605,0.6863979848866498
75,0.66,5000,2,1,0.8256302521008403,0.681360201511335
76,0.66,5000,2,42,0.8096638655462185,0.6838790931989924
77,0.66,5000,2,1337,0.8134453781512605,0.6838790931989924
78,0.66,8000,1,1,0.7907563025210084,0.646095717884131
79,0.66,8000,1,42,0.780672268907563,0.6536523929471033
80,0.66,8000,1,1337,0.769327731092437,0.6347607052896725
81,0.66,8000,2,1,0.7915966386554621,0.646095717884131
82,0.66,8000,2,42,0.7798319327731092,0.6561712846347607
83,0.66,8000,2,1337,0.7684873949579832,0.6347607052896725
84,0.75,500,1,1,0.7021008403361344,0.6511335012594458
85,0.75,500,1,42,0.7113445378151261,0.663727959697733
86,0.75,500,1,1337,0.6953781512605042,0.6712846347607053
87,0.75,500,2,1,0.7012605042016806,0.654911838790932
88,0.75,500,2,42,0.7121848739495799,0.663727959697733
89,0.75,500,2,1337,0.6957983193277311,0.6700251889168766
90,0.75,1000,1,1,0.7521008403361344,0.6977329974811083
91,0.75,1000,1,42,0.7529411764705882,0.6750629722921915
92,0.75,1000,1,1337,0.7466386554621849,0.6863979848866498
93,0.75,1000,2,1,0.7512605042016807,0.698992443324937
94,0.75,1000,2,42,0.7529411764705882,0.6750629722921915
95,0.75,1000,2,1337,0.7466386554621849,0.6863979848866498
96,0.75,2000,1,1,0.8100840336134454,0.7090680100755667
97,0.75,2000,1,42,0.8004201680672269,0.6939546599496221
98,0.75,2000,1,1337,0.8012605042016807,0.7229219143576826
99,0.75,2000,2,1,0.8105042016806723,0.7090680100755667
100,0.75,2000,2,42,0.8016806722689076,0.6952141057934509
101,0.75,2000,2,1337,0.8008403361344538,0.72544080604534
102,0.75,3000,1,1,0.8273109243697478,0.7027707808564232
103,0.75,3000,1,42,0.8184873949579832,0.7052896725440806
104,0.75,3000,1,1337,0.8159663865546218,0.7027707808564232
105,0.75,3000,2,1,0.8252100840336134,0.7002518891687658
106,0.75,3000,2,42,0.8189075630252101,0.7040302267002518
107,0.75,3000,2,1337,0.8134453781512605,0.7052896725440806
108,0.75,4000,1,1,0.8289915966386555,0.6914357682619647
109,0.75,4000,1,42,0.8184873949579832,0.6977329974811083
110,0.75,4000,1,1337,0.819327731092437,0.6964735516372796
111,0.75,4000,2,1,0.8289915966386555,0.6914357682619647
112,0.75,4000,2,42,0.8168067226890756,0.690176322418136
113,0.75,4000,2,1337,0.8197478991596638,0.6952141057934509
114,0.75,5000,1,1,0.8222689075630252,0.6763224181360201
115,0.75,5000,1,42,0.8079831932773109,0.6838790931989924
116,0.75,5000,1,1337,0.8117647058823529,0.6876574307304786
117,0.75,5000,2,1,0.8243697478991596,0.6801007556675063
118,0.75,5000,2,42,0.8092436974789916,0.6801007556675063
119,0.75,5000,2,1337,0.8100840336134454,0.6876574307304786
120,0.75,8000,1,1,0.7852941176470588,0.646095717884131
121,0.75,8000,1,42,0.7777310924369748,0.654911838790932
122,0.75,8000,1,1337,0.765126050420168,0.6347607052896725
123,0.75,8000,2,1,0.7869747899159664,0.646095717884131
124,0.75,8000,2,42,0.7802521008403361,0.6561712846347607
125,0.75,8000,2,1337,0.7647058823529411,0.6360201511335013
126,0.83,500,1,1,0.6987394957983193,0.6523929471032746
127,0.83,500,1,42,0.711764705882353,0.6574307304785895
128,0.83,500,1,1337,0.6953781512605042,0.6700251889168766
129,0.83,500,2,1,0.6987394957983193,0.6523929471032746
130,0.83,500,2,42,0.7105042016806723,0.6599496221662469
131,0.83,500,2,1337,0.6953781512605042,0.6700251889168766
132,0.83,1000,1,1,0.7495798319327731,0.7027707808564232
133,0.83,1000,1,42,0.7550420168067227,0.6738035264483627
134,0.83,1000,1,1337,0.7441176470588236,0.690176322418136
135,0.83,1000,2,1,0.7516806722689076,0.6977329974811083
136,0.83,1000,2,42,0.7521008403361344,0.672544080604534
